country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-09-2025 21:00:00",28.636429,77.201067,NO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","11-09-2025 21:00:00",21.185571,81.343175,PM2.5,17,46,32
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","11-09-2025 21:00:00",21.224231,81.408350,SO2,4,11,6
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","11-09-2025 21:00:00",22.08815,82.13737,NO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","11-09-2025 21:00:00",22.118125,83.140608,PM2.5,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","11-09-2025 21:00:00",22.118125,83.140608,NO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","11-09-2025 21:00:00",22.118125,83.140608,NH3,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-09-2025 21:00:00",25.366336,87.117468,OZONE,18,43,25
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-09-2025 21:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","11-09-2025 21:00:00",25.859655,85.77944,SO2,15,31,25
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","11-09-2025 21:00:00",24.952822,84.002396,PM2.5,2,17,7
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","11-09-2025 21:00:00",24.952822,84.002396,NH3,2,4,3
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-09-2025 21:00:00",28.776200,77.051074,NO2,1,23,5
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-09-2025 21:00:00",28.776200,77.051074,CO,86,104,99
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","11-09-2025 21:00:00",28.7256504,77.2011573,PM10,45,94,66
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","11-09-2025 21:00:00",28.5512005,77.2735737,PM2.5,28,53,43
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","11-09-2025 21:00:00",28.498571,77.264840,PM10,68,115,89
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-09-2025 21:00:00",28.636429,77.201067,NH3,NA,NA,NA
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-09-2025 21:00:00",28.684678,77.076574,PM2.5,20,73,36
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-09-2025 21:00:00",28.684678,77.076574,PM10,72,185,104
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-09-2025 21:00:00",28.684678,77.076574,NO2,18,49,36
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-09-2025 21:00:00",28.570173,76.933762,NO2,47,59,53
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-09-2025 21:00:00",28.822836,77.101981,SO2,NA,NA,NA
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-09-2025 21:00:00",28.5710274,77.0719006,SO2,10,16,13
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","11-09-2025 21:00:00",28.5627763,77.1180053,PM2.5,18,67,41
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","11-09-2025 21:00:00",28.5627763,77.1180053,PM10,64,135,91
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-09-2025 21:00:00",28.628624,77.241060,PM10,10,82,38
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-09-2025 21:00:00",28.647622,77.3158090,PM2.5,70,117,85
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-09-2025 21:00:00",28.647622,77.3158090,CO,62,80,68
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","11-09-2025 21:00:00",28.4706914,77.1099364,PM2.5,7,65,35
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","11-09-2025 21:00:00",22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","11-09-2025 21:00:00",22.1910172,83.5197009,NO2,NA,NA,NA
